sample-id	Plant	Wheat variety	Treatment	Block	Plot	Compartment	Plant height (cm)	Plant_biomass_(g)
ASpeltoides-T-RP-2-5	ASpeltoides	Grass	Treated	2	5	Rhizoplane	75	1.95
ASpeltoides-T-RP-3-25	ASpeltoides	Grass	Treated	3	25	Rhizoplane	69	3.48
ASpeltoides-UnT-RP-1-18	ASpeltoides	Grass	UnTreated	1	18	Rhizoplane	100	0.54
ASpeltoides-UnT-RP-2-1	ASpeltoides	Grass	UnTreated	2	1	Rhizoplane	92	0.34
ASpeltoides-UnT-RP-3-6	ASpeltoides	Grass	UnTreated	3	6	Rhizoplane	89	0.48
ATauschii-T-RP-1-21	ATauschii	Grass	Treated	1	21	Rhizoplane	47.5	1.96
ATauschii-T-RP-2-40	ATauschii	Grass	Treated	2	40	Rhizoplane	48	1.36
ATauschii-T-RP-3-17	ATauschii	Grass	Treated	3	17	Rhizoplane	49.5	3.05
ATauschii-T-RP-4-37	ATauschii	Grass	Treated	4	37	Rhizoplane	37	0.99
ATauschii-UnT-RP-1-27	ATauschii	Grass	UnTreated	1	27	Rhizoplane	41	0.27
ATauschii-UnT-RP-2-2	ATauschii	Grass	UnTreated	2	2	Rhizoplane	46.5	0.38
ATauschii-UnT-RP-3-14	ATauschii	Grass	UnTreated	3	14	Rhizoplane	28	0.42
ATauschii-UnT-RP-4-30	ATauschii	Grass	UnTreated	4	30	Rhizoplane	42.5	0.34
Avalon-T-RP-1-9	Avalon	Heritage	Treated	1	9	Rhizoplane	22.5	1.9
Avalon-T-RP-2-17	Avalon	Heritage	Treated	2	17	Rhizoplane	37.5	2.06
Avalon-T-RP-3-36	Avalon	Heritage	Treated	3	36	Rhizoplane	32	0.98
Avalon-T-RP-4-40	Avalon	Heritage	Treated	4	40	Rhizoplane	1.98	1.98
Avalon-UnT-RP-1-6	Avalon	Heritage	UnTreated	1	6	Rhizoplane	31	0.89
Avalon-UnT-RP-2-36	Avalon	Heritage	UnTreated	2	36	Rhizoplane	39.5	0.63
Avalon-UnT-RP-3-39	Avalon	Heritage	UnTreated	3	39	Rhizoplane	36	0.55
Avalon-UnT-RP-4-34	Avalon	Heritage	UnTreated	4	34	Rhizoplane	38.5	
Cadenza-T-RP-1-2	Cadenza	Heritage	Treated	1	2	Rhizoplane	42	1.07
Cadenza-T-RP-2-6	Cadenza	Heritage	Treated	2	6	Rhizoplane	51.5	1.28
Cadenza-T-RP-3-7	Cadenza	Heritage	Treated	3	7	Rhizoplane	59	0.85
Cadenza-T-RP-4-11	Cadenza	Heritage	Treated	4	11	Rhizoplane	49.5	0.98
Cadenza-UnT-RP-1-24	Cadenza	Heritage	UnTreated	1	24	Rhizoplane	54	0.174
Cadenza-UnT-RP-2-20	Cadenza	Heritage	UnTreated	2	20	Rhizoplane	40.5	0.33
Cadenza-UnT-RP-3-27	Cadenza	Heritage	UnTreated	3	27	Rhizoplane	50	0.38
Cadenza-UnT-RP-4-15	Cadenza	Heritage	UnTreated	4	15	Rhizoplane	44	0.37
Chidham-T-RP-1-36	Chidham	Heritage	Treated	1	36	Rhizoplane	54	2.74
Chidham-T-RP-2-38	Chidham	Heritage	Treated	2	38	Rhizoplane	75	2.87
Chidham-T-RP-3-22	Chidham	Heritage	Treated	3	22	Rhizoplane	80	3.19
Chidham-T-RP-4-22	Chidham	Heritage	Treated	4	22	Rhizoplane	60.5	3.12
Chidham-UnT-RP-1-22	Chidham	Heritage	UnTreated	1	22	Rhizoplane	49.5	0.53
Chidham-UnT-RP-2-22	Chidham	Heritage	UnTreated	2	22	Rhizoplane	67.5	0.58
Chidham-UnT-RP-3-33	Chidham	Heritage	UnTreated	3	33	Rhizoplane	50	1.25
Crusoe-T-RP-1-1	Crusoe	Heritage	Treated	1	1	Rhizoplane	40.5	2.15
Crusoe-T-RP-2-12	Crusoe	Heritage	Treated	2	12	Rhizoplane	47	3.18
Crusoe-T-RP-3-30	Crusoe	Heritage	Treated	3	30	Rhizoplane	43	2.12
Crusoe-T-RP-4-16	Crusoe	Heritage	Treated	4	16	Rhizoplane	15.5	3.56
Crusoe-UnT-RP-1-20	Crusoe	Heritage	UnTreated	1	20	Rhizoplane	34	0.46
Crusoe-UnT-RP-2-29	Crusoe	Heritage	UnTreated	2	29	Rhizoplane	40	0.75
Crusoe-UnT-RP-3-15	Crusoe	Heritage	UnTreated	3	15	Rhizoplane	35.5	0.91
Crusoe-UnT-RP-4-24	Crusoe	Heritage	UnTreated	4	24	Rhizoplane	45.5	0.57
Gallant-T-RP-1-17	Gallant	Heritage	Treated	1	17	Rhizoplane	40	2.92
Gallant-T-RP-2-23	Gallant	Heritage	Treated	2	23	Rhizoplane	43	1.98
Gallant-T-RP-3-1	Gallant	Heritage	Treated	3	1	Rhizoplane	39.5	
Gallant-T-RP-4-23	Gallant	Heritage	Treated	4	23	Rhizoplane	43	1.26
Gallant-UnT-RP-1-38	Gallant	Heritage	UnTreated	1	38	Rhizoplane	37.5	0.44
Gallant-UnT-RP-2-7	Gallant	Heritage	UnTreated	2	7	Rhizoplane	43.5	0.43
Gallant-UnT-RP-3-18	Gallant	Heritage	UnTreated	3	18	Rhizoplane	39	0.39
Gallant-UnT-RP-4-17	Gallant	Heritage	UnTreated	4	17	Rhizoplane	42	0.46
Hereward-T-RP-1-5	Hereward	Heritage	Treated	1	5	Rhizoplane	37	2.54
Hereward-T-RP-2-32	Hereward	Heritage	Treated	2	32	Rhizoplane	53	3.03
Hereward-T-RP-3-9	Hereward	Heritage	Treated	3	9	Rhizoplane	39	3.18
Hereward-T-RP-4-32	Hereward	Heritage	Treated	4	32	Rhizoplane	62	1.27
Hereward-UnT-RP-1-7	Hereward	Heritage	UnTreated	1	7	Rhizoplane	39.5	0.5
Hereward-UnT-RP-2-30	Hereward	Heritage	UnTreated	2	30	Rhizoplane	42.5	0.53
Hereward-UnT-RP-3-19	Hereward	Heritage	UnTreated	3	19	Rhizoplane	40	0.56
Malacca-T-RP-1-12	Malacca	Heritage	Treated	1	12	Rhizoplane	35.5	2.06
Malacca-T-RP-2-3	Malacca	Heritage	Treated	2	3	Rhizoplane	26	0.56
Malacca-T-RP-3-37	Malacca	Heritage	Treated	3	37	Rhizoplane	43	1.4
